>	GMT_LONLAT										
>#	Data	from	the	full	resolution	GMT	shoreline,	borders,	and	rivers	database
>	Shore	Bin	#	18957,	Level	1					
-122.149584192	37.6108339055	0	0								
-122.148805982	37.6100251774	0	0								
-122.148805982	37.6091706722	0	0								
-122.14961471	37.6083009079	0	0								
-122.148027771	37.6066376745	0	0								
-122.148805982	37.6057831693	0	0								
-122.148805982	37.604165713	0	0								
-122.14961471	37.6033264668	0	0								
-122.148744945	37.6024719615	0	0								
-122.148805982	37.5999389639	0	0								
-122.147951476	37.5991912718	0	0								
-122.147966735	37.595803769	0	0								
-122.149645228	37.5941100175	0	0								
-122.149645228	37.5933012894	0	0								
-122.148805982	37.5924925612	0	0								
-122.148805982	37.591638056	0	0								
-122.14961471	37.5907835508	0	0								
-122.14961471	37.5900053407	0	0								
-122.150423438	37.5891355764	0	0								
-122.149584192	37.5883268482	0	0								
-122.149584192	37.5858091096	0	0								
